sperm
egg
sexual reproduction
asexual reproduction
apoptosis
genome
diploid cell
homologous sets of chromosomes
karyotype
sex chromosomes
autosomes
homologous pair
allele
unreplicated
identical alleles
centromeres
sisiter chromatids
haploid cell
gametes
fertilization
zygote
mitosis
meiosis
somatic cell
germ cell
interphase
prophase
spindle
metaphase
anaphase
telophase
cytokinesis
crossing over
recombinant chromatids
parental chromatids
random orientation
monozygotic
dizygotic
nondisjunction
polyploid
mitotic
ligase
mutation
eukaryote
chromatin
synthesis phase
cleavage furrow
contractile ring
microtubules
cell plate
tumor
benign
malignant
metastasis
isotope
true-breeding
phenotype
heterozygous
homozygous
Punnett square
test cross
monohybrid
linkage groups
linkage maps
incomplete dominance
codominance
pleiotropy
sex-linked
hemophilia
Rett syndrome
hypo-phospate(mic) rickets
autosomal dominant
autosomal recessive
pedigree
polygenic
nuclear envelope
nucleolus
daughter chromosomes
metaphase plate
splice
restriction enzymes
pharmaceutical
compound
medicinal
insulin
diabete
herbicide
insecticide
plasmid
sequence
